               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.033437,            0.047785,           0.0077411,              0.3099,             0.32278,             0.19753,             0.14661,            0.060612,             0.17773,            0.046529,            0.001288,            0.001288,            0.001288
                  90,            0.033232,            0.048902,            0.007521,             0.29732,             0.32955,             0.18937,             0.13969,            0.060814,             0.17519,            0.046275,            0.001189,            0.001189,            0.001189
                  91,            0.032837,            0.052196,           0.0074719,             0.29443,             0.31078,             0.19048,             0.13989,            0.060545,             0.17614,             0.04601,             0.00109,             0.00109,             0.00109
                  92,            0.033569,             0.05065,           0.0076717,             0.32655,             0.28975,             0.19455,              0.1429,            0.060274,             0.17294,            0.045776,            0.000991,            0.000991,            0.000991
                  93,            0.032034,            0.048318,           0.0068549,             0.29378,             0.30752,             0.19113,             0.14086,            0.060308,             0.17476,            0.046635,            0.000892,            0.000892,            0.000892
                  94,            0.033627,            0.049151,            0.007721,             0.29667,             0.31291,             0.19344,             0.14358,            0.060852,             0.17718,            0.047685,            0.000793,            0.000793,            0.000793
                  95,            0.032808,            0.052092,             0.00735,             0.29967,             0.30738,             0.18827,             0.13689,            0.060616,             0.17712,            0.046527,            0.000694,            0.000694,            0.000694
                  96,            0.032714,            0.049511,           0.0074815,             0.29432,             0.33147,             0.18815,             0.13838,            0.060911,             0.17725,             0.04663,            0.000595,            0.000595,            0.000595
                  97,            0.032947,            0.051157,           0.0071911,             0.28985,             0.32163,             0.18926,             0.14123,            0.060975,             0.17909,            0.047456,            0.000496,            0.000496,            0.000496
                  98,             0.03201,            0.047578,           0.0070833,             0.30208,              0.3114,             0.18983,             0.14059,            0.060827,             0.17838,            0.047282,            0.000397,            0.000397,            0.000397
                  99,            0.032579,            0.050202,           0.0070096,             0.29964,             0.31209,              0.1872,             0.13874,            0.060869,             0.17873,            0.046564,            0.000298,            0.000298,            0.000298
